,Shark_sp,Deadly_act
995,undef. shark,swimming
996,undef. shark,undef. act
997,bull shark,sailing
998,undef. shark,swimming
999,tiger shark,diving
1000,white shark,surfing
1001,white shark,undef. act
1002,undef. shark,swimming
1003,undef. shark,swimming
1004,reef shark,swimming
1005,undef. shark,surfing
1006,undef. shark,diving
1007,undef. shark,swimming
1008,undef. shark,swimming
1009,undef. shark,surfing
1010,undef. shark,swimming
1011,copper shark,diving
1012,undef. shark,surfing
1013,undef. shark,surfing
1014,undef. shark,swimming
1015,undef. shark,undef. act
1016,undef. shark,surfing
1017,undef. shark,swimming
1018,bull shark,fishing
1019,white shark,surfing
1020,white shark,fishing
1021,undef. shark,surfing
1022,undef. shark,swimming
1023,undef. shark,surfing
1024,white shark,surfing
1025,undef. shark,swimming
1026,undef. shark,surfing
1027,undef. shark,surfing
1028,undef. shark,fishing
1029,undef. shark,surfing
1030,bull shark,swimming
1031,undef. shark,surfing
1032,tiger shark,undef. act
1033,undef. shark,surfing
1034,undef. shark,surfing
1035,undef. shark,diving
1036,white shark,swimming
1037,bull shark,fishing
1038,undef. shark,swimming
1039,undef. shark,fishing
1040,tiger shark,surfing
1041,undef. shark,surfing
1042,undef. shark,surfing
1043,bull shark,swimming
1044,undef. shark,surfing
1045,white shark,swimming
1046,undef. shark,surfing
1047,tiger shark,undef. act
1048,tiger shark,diving
1049,undef. shark,swimming
1050,undef. shark,surfing
1051,undef. shark,surfing
1052,undef. shark,sailing
1053,undef. shark,fishing
1054,undef. shark,surfing
1055,bull shark,sailing
1056,undef. shark,sailing
1057,undef. shark,fishing
1058,undef. shark,surfing
1059,undef. shark,swimming
1060,undef. shark,sailing
1061,undef. shark,swimming
1062,undef. shark,surfing
1063,white shark,surfing
1064,bull shark,diving
1065,undef. shark,fishing
1066,undef. shark,surfing
1067,undef. shark,surfing
1068,undef. shark,surfing
1069,blacktip shark,surfing
1070,mako shark,swimming
1071,undef. shark,swimming
1072,copper shark,swimming
1073,undef. shark,surfing
1074,nurse shark,fishing
1075,hammerhead shark,surfing
1076,undef. shark,surfing
1077,undef. shark,diving
1078,undef. shark,surfing
1079,undef. shark,swimming
1080,undef. shark,swimming
1081,tiger shark,surfing
1082,undef. shark,surfing
1083,undef. shark,undef. act
1084,reef shark,fishing
1085,undef. shark,surfing
1086,undef. shark,surfing
1087,undef. shark,surfing
1088,undef. shark,surfing
1089,white shark,surfing
1090,undef. shark,diving
1091,tiger shark,sailing
1092,white shark,surfing
1093,copper shark,fishing
1094,undef. shark,surfing
1095,blacktip shark,surfing
1096,undef. shark,surfing
1097,undef. shark,undef. act
1098,tiger shark,swimming
1099,reef shark,fishing
1100,white shark,surfing
1101,copper shark,swimming
1102,undef. shark,diving
1103,undef. shark,surfing
1104,undef. shark,surfing
1105,reef shark,fishing
1106,undef. shark,swimming
1107,undef. shark,surfing
1108,nurse shark,diving
1109,undef. shark,swimming
1110,undef. shark,swimming
1111,undef. shark,sailing
1112,undef. shark,undef. act
1113,undef. shark,swimming
1114,tiger shark,sailing
1115,white shark,surfing
1116,undef. shark,surfing
1117,undef. shark,surfing
1118,undef. shark,diving
1119,nurse shark,fishing
1120,undef. shark,swimming
1121,undef. shark,surfing
1122,undef. shark,surfing
1123,bull shark,sailing
1124,undef. shark,swimming
1125,undef. shark,sailing
1126,undef. shark,swimming
1127,undef. shark,sailing
1128,bull shark,undef. act
1129,undef. shark,surfing
1130,undef. shark,surfing
1131,white shark,surfing
1132,white shark,fishing
1133,undef. shark,diving
1134,copper shark,swimming
1135,undef. shark,swimming
1136,undef. shark,diving
1137,undef. shark,swimming
1138,undef. shark,swimming
1139,bull shark,fishing
1140,undef. shark,surfing
1141,undef. shark,sailing
1142,undef. shark,undef. act
1143,undef. shark,undef. act
1144,undef. shark,swimming
1145,undef. shark,surfing
1146,tiger shark,surfing
1147,undef. shark,surfing
1148,undef. shark,swimming
1149,undef. shark,surfing
1150,undef. shark,swimming
1151,reef shark,undef. act
1152,undef. shark,fishing
1153,undef. shark,swimming
1154,undef. shark,surfing
1155,undef. shark,surfing
1156,white shark,diving
1157,undef. shark,swimming
1158,tiger shark,diving
1159,undef. shark,swimming
1160,undef. shark,undef. act
1161,undef. shark,undef. act
1162,undef. shark,swimming
1163,undef. shark,sailing
1164,undef. shark,surfing
1165,bull shark,fishing
1166,tiger shark,surfing
1167,undef. shark,surfing
1168,undef. shark,surfing
1169,undef. shark,undef. act
1170,undef. shark,undef. act
1171,undef. shark,surfing
1172,undef. shark,surfing
1173,undef. shark,fishing
1174,undef. shark,swimming
1175,undef. shark,surfing
